"Date","Price","Open","High","Low","Vol.","Change %"
"03-01-2021","17.250","17.250","17.250","17.250","","20.63%"
"27-12-2020","14.300","14.300","14.300","14.300","","30.00%"
"20-12-2020","11.000","11.000","11.000","11.000","","13.87%"
"13-12-2020","9.660","9.660","9.660","9.660","","19.63%"
"06-12-2020","8.075","8.075","8.075","8.075","","7.74%"
"29-11-2020","7.495","7.495","7.495","7.495","","4.83%"
"22-11-2020","7.150","7.150","7.150","7.150","","12.16%"
"15-11-2020","6.375","6.375","6.375","6.375","","-7.60%"
"08-11-2020","6.899","6.899","6.899","6.899","","-0.09%"
"01-11-2020","6.905","6.905","6.905","6.905","","-1.64%"
"25-10-2020","7.020","7.020","7.020","7.020","0.37K","-3.17%"
"18-10-2020","7.250","7.250","7.250","7.250","0.11K","14.81%"
"11-10-2020","6.315","6.315","6.315","6.315","","22.98%"
"04-10-2020","5.135","5.135","5.135","5.135","","2.19%"
"27-09-2020","5.025","5.025","5.025","5.025","","1.01%"
"20-09-2020","4.975","4.975","4.975","4.975","","2.68%"
"13-09-2020","4.845","4.845","4.845","4.845","0.10K","12.41%"
"06-09-2020","4.310","4.310","4.310","4.310","","2.01%"
"30-08-2020","4.225","4.225","4.225","4.225","","0.00%"
"23-08-2020","4.225","4.225","4.225","4.225","","14.04%"
"16-08-2020","3.705","3.705","3.705","3.705","","27.85%"
"09-08-2020","2.898","2.898","2.898","2.898","","4.06%"
"02-08-2020","2.785","2.785","2.785","2.785","","8.79%"
"26-07-2020","2.560","2.560","2.560","2.560","","-1.35%"
"19-07-2020","2.595","2.595","2.595","2.595","","3.59%"
"12-07-2020","2.505","2.505","2.505","2.505","","15.17%"
"05-07-2020","2.175","2.175","2.175","2.175","","-1.14%"
"28-06-2020","2.200","2.200","2.200","2.200","","0.00%"
"21-06-2020","2.200","2.200","2.200","2.200","","-0.90%"
"14-06-2020","2.220","2.220","2.220","2.220","","7.51%"
"07-06-2020","2.065","2.065","2.065","2.065","","-0.24%"
"31-05-2020","2.070","2.070","2.070","2.070","","0.24%"
"24-05-2020","2.065","2.065","2.065","2.065","","2.99%"
"17-05-2020","2.005","2.005","2.005","2.005","","-4.75%"
"10-05-2020","2.105","2.105","2.105","2.105","","3.69%"
"03-05-2020","2.030","2.030","2.030","2.030","","1.50%"
"26-04-2020","2.000","2.000","2.000","2.000","","-1.23%"
"19-04-2020","2.025","2.025","2.025","2.025","","-13.65%"
"12-04-2020","2.345","2.345","2.345","2.345","","-16.40%"
"05-04-2020","2.805","2.805","2.805","2.805","","-1.41%"
"29-03-2020","2.845","2.845","2.845","2.845","","-4.37%"
"22-03-2020","2.975","2.975","2.975","2.975","","-13.27%"
"15-03-2020","3.430","3.430","3.430","3.430","","9.24%"
"08-03-2020","3.140","3.140","3.140","3.140","","0.80%"
"01-03-2020","3.115","3.115","3.115","3.115","","5.24%"
"23-02-2020","2.960","2.960","2.960","2.960","","-1.17%"
"16-02-2020","2.995","2.995","2.995","2.995","","-14.91%"
"09-02-2020","3.520","3.520","3.520","3.520","","-1.40%"
"02-02-2020","3.570","3.570","3.570","3.570","","-11.19%"
"26-01-2020","4.020","4.020","4.020","4.020","","0.50%"
"19-01-2020","4.000","4.000","4.000","4.000","","-3.15%"
"12-01-2020","4.130","4.130","4.130","4.130","","-22.08%"
"05-01-2020","5.300","5.300","5.300","5.300","","-1.58%"
