"Date","Price","Open","High","Low","Vol.","Change %"
"18-01-2023","61.710","60.000","62.200","60.000","0.01K","2.75%"
"17-01-2023","60.060","65.000","65.000","54.500","0.01K","-7.33%"
"13-01-2023","64.810","66.300","66.300","62.800","0.01K","-2.99%"
"12-01-2023","66.810","69.600","69.600","67.600","0.01K","2.24%"
"11-01-2023","65.345","67.595","67.595","65.500","0.01K","-6.74%"
"10-01-2023","70.070","73.000","76.000","70.200","0.02K","-5.69%"
"09-01-2023","74.300","71.050","75.400","70.100","0.01K","6.85%"
"06-01-2023","69.535","72.000","76.000","68.000","0.01K","-3.98%"
"05-01-2023","72.420","72.420","72.420","72.420","","11.38%"
"04-01-2023","65.020","65.020","65.020","65.020","","-10.09%"
"03-01-2023","72.315","72.315","72.315","72.315","","-5.24%"
"30-12-2022","76.315","76.315","76.315","76.315","","-8.96%"
"29-12-2022","83.830","83.830","83.830","83.830","","3.05%"
"28-12-2022","81.350","81.350","81.350","81.350","","1.63%"
"27-12-2022","80.045","80.045","80.045","80.045","","-3.53%"
"23-12-2022","82.975","82.975","82.975","82.975","","-9.75%"
"22-12-2022","91.940","91.940","91.940","91.940","","-5.94%"
"21-12-2022","97.750","97.750","97.750","97.750","","-7.51%"
"20-12-2022","105.690","105.690","105.690","105.690","","-2.63%"
"19-12-2022","108.545","108.545","108.545","108.545","","-5.98%"
"16-12-2022","115.450","115.450","115.450","115.450","","-14.33%"
"15-12-2022","134.765","134.765","134.765","134.765","","2.48%"
"14-12-2022","131.510","131.510","131.510","131.510","","-4.38%"
"13-12-2022","137.530","137.530","137.530","137.530","","0.69%"
"12-12-2022","136.590","136.590","136.590","136.590","","-1.82%"
"09-12-2022","139.115","139.115","139.115","139.115","","0.16%"
"08-12-2022","138.895","138.895","138.895","138.895","","-6.93%"
"07-12-2022","149.245","149.245","149.245","149.245","","7.77%"
"06-12-2022","138.490","138.490","138.490","138.490","","2.81%"
"05-12-2022","134.700","134.700","134.700","134.700","","-0.63%"
"02-12-2022","135.560","135.560","135.560","135.560","","-2.66%"
"01-12-2022","139.260","139.260","139.260","139.260","","-4.87%"
"30-11-2022","146.395","146.395","146.395","146.395","","10.67%"
"29-11-2022","132.286","132.286","132.286","132.286","","7.31%"
"28-11-2022","123.280","123.280","123.280","123.280","","-0.88%"
"25-11-2022","124.370","124.370","124.370","124.370","","-4.05%"
"23-11-2022","129.620","129.620","129.620","129.620","","8.34%"
"22-11-2022","119.640","119.640","119.640","119.640","","3.02%"
"21-11-2022","116.130","116.130","116.130","116.130","","0.54%"
"18-11-2022","115.510","115.510","115.510","115.510","","2.63%"
"17-11-2022","112.555","112.555","112.555","112.555","","-1.18%"
"16-11-2022","113.900","113.900","113.900","113.900","","-8.22%"
"15-11-2022","124.105","124.105","124.105","124.105","","9.15%"
"14-11-2022","113.705","113.705","113.705","113.705","","16.20%"
"11-11-2022","97.855","97.855","97.855","97.855","","-13.75%"
"10-11-2022","113.450","113.450","113.450","113.450","","0.27%"
"09-11-2022","113.145","113.145","113.145","113.145","","-4.23%"
"08-11-2022","118.145","118.145","118.145","118.145","","7.71%"
"07-11-2022","109.685","109.685","109.685","109.685","","-4.44%"
"04-11-2022","114.785","114.785","114.785","114.785","","-8.50%"
"03-11-2022","125.445","125.445","125.445","125.445","","-0.33%"
"02-11-2022","125.865","125.865","125.865","125.865","","8.32%"
"01-11-2022","116.195","116.195","116.195","116.195","","-5.80%"
"31-10-2022","123.350","123.350","123.350","123.350","","9.89%"
"28-10-2022","112.244","112.244","112.244","112.244","","4.52%"
"27-10-2022","107.385","107.385","107.385","107.385","","2.94%"
"26-10-2022","104.320","104.320","104.320","104.320","","4.53%"
"25-10-2022","99.795","99.795","99.795","99.795","","0.63%"
"24-10-2022","99.170","99.170","99.170","99.170","","-12.68%"
"21-10-2022","113.575","113.575","113.575","113.575","","-10.67%"
"20-10-2022","127.145","127.145","127.145","127.145","","13.01%"
"19-10-2022","112.510","112.510","112.510","112.510","","-0.63%"
"18-10-2022","113.220","113.220","113.220","113.220","","-11.53%"
"17-10-2022","127.980","127.980","127.980","127.980","","-9.87%"
"14-10-2022","141.995","141.995","141.995","141.995","","-7.68%"
"13-10-2022","153.810","153.810","153.810","153.810","","-3.98%"
"12-10-2022","160.190","160.190","160.190","160.190","","2.18%"
"11-10-2022","156.780","156.780","156.780","156.780","","1.73%"
"10-10-2022","154.120","154.120","154.120","154.120","","-1.33%"
"07-10-2022","156.205","156.205","156.205","156.205","","-11.10%"
